d,target_lambda,gamma_times_d,instance,m_q,m_budget_eps,lambda_max,A_max,max_abs_phi,certified,observed,floor,rounding_noise,above_floor,informative,holds,holds_strict,ratio,m_over_lambda
100,40.0,29.145733740690048,8,2,11,34.350496755350306,137.37095242366865,1.1803957664082962,415.2900767417085,1.1450771164081148,1.674216321134736e-13,8.37108160567368e-14,True,True,True,True,362.67433065503315,0.05822332102631055
100,40.0,29.145733740690048,8,3,11,34.350496755350306,137.37095242366865,1.1803957664082962,192.9780504262425,0.8127530927366295,1.674216321134736e-13,8.37108160567368e-14,True,True,True,True,237.43748519795116,0.08733498153946584
100,40.0,29.145733740690048,8,4,11,34.350496755350306,137.37095242366865,1.1803957664082962,75.94876958502562,0.3704099141874685,1.674216321134736e-13,8.37108160567368e-14,True,True,True,True,205.03978612890776,0.1164466420526211
100,40.0,29.145733740690048,8,7,11,34.350496755350306,137.37095242366865,1.1803957664082962,1.6320477018724973,0.0049763518461458656,1.674216321134736e-13,8.37108160567368e-14,True,True,True,True,327.96067326640133,0.20378162359208693
100,40.0,29.145733740690048,8,10,11,34.350496755350306,137.37095242366865,1.1803957664082962,0.007852095954834062,6.13040155550415e-06,1.674216321134736e-13,8.37108160567368e-14,True,True,True,True,1280.8452894548316,0.2911166051315528
100,40.0,29.145733740690048,8,15,11,34.350496755350306,137.37095242366865,1.1803957664082962,6.294620750651323e-08,1.0982326159592048e-12,1.674216321134736e-13,8.37108160567368e-14,True,True,True,True,57315.91521850362,0.43667490769732914
100,40.0,29.145733740690048,8,22,11,34.350496755350306,137.37095242366865,1.1803957664082962,4.223192007152343e-17,3.352873534367973e-14,1.674216321134736e-13,8.37108160567368e-14,False,False,True,False,0.0012595739039553211,0.6404565312894162
100,40.0,29.145733740690048,8,33,11,34.350496755350306,137.37095242366865,1.1803957664082962,5.074796177003584e-35,2.19824158875781e-14,1.674216321134736e-13,8.37108160567368e-14,False,False,True,False,2.3085707244176325e-21,0.9606847969341241
100,40.0,29.145733740690048,8,49,11,34.350496755350306,137.37095242366865,1.1803957664082962,1.8922131466751766e-66,8.681944052568724e-14,1.674216321134736e-13,8.37108160567368e-14,False,False,True,False,2.1794809264122452e-53,1.4264713651446086
100,40.0,29.145733740690048,9,2,12,39.52972663667574,178.16481431168347,0.9419020284084586,619.9412244371894,0.9215591513959331,1.4654943925052066e-13,7.327471962526033e-14,True,True,True,True,672.7090968584408,0.050594835081515514
