d,instance,m_q,exact_threshold,n_train,n_informative,gamma_scale,certified_error,observed_error,rounding_floor,above_floor,informative,holds,holds_strict
100,8,5,50,300,30,10.0,0.8885136639524286,0.003768813138513405,9.325873406851315e-14,True,True,True,True
100,8,6,50,300,30,10.0,0.09763749997306755,0.0002518596039378096,9.325873406851315e-14,True,True,True,True
100,8,8,50,300,30,10.0,0.000550126437467998,4.0575763549099975e-07,9.325873406851315e-14,True,True,True,True
100,8,10,50,300,30,10.0,1.2969701194380905e-06,1.9583734633954464e-10,9.325873406851315e-14,True,True,True,True
100,8,12,50,300,30,10.0,1.4700977487871818e-09,5.551115123125783e-14,9.325873406851315e-14,False,True,True,True
100,8,16,50,300,30,10.0,3.119737171533732e-16,2.2870594307278225e-14,9.325873406851315e-14,False,False,True,False
100,9,1,50,300,30,10.0,500.49799183099486,2.08559054185903,1.723066134218243e-13,True,True,True,True
100,9,2,50,300,30,10.0,210.7694887311996,1.5017793472541787,1.723066134218243e-13,True,True,True,True
100,9,3,50,300,30,10.0,68.15678302538225,0.5157515789613327,1.723066134218243e-13,True,True,True,True
100,9,4,50,300,30,10.0,16.681577931964515,0.10081703921877216,1.723066134218243e-13,True,True,True,True
100,9,5,50,300,30,10.0,3.1033870257682312,0.012704909091459715,1.723066134218243e-13,True,True,True,True
100,9,6,50,300,30,10.0,0.4451177314920908,0.0011034019340021572,1.723066134218243e-13,True,True,True,True
100,9,8,50,300,30,10.0,0.004511601542183038,3.226371632525371e-06,1.723066134218243e-13,True,True,True,True
100,9,10,50,300,30,10.0,2.0011377025314013e-05,3.2188063325833127e-09,1.723066134218243e-13,True,True,True,True
100,9,12,50,300,30,10.0,4.380032908150906e-08,1.317446152171442e-12,1.723066134218243e-13,True,True,True,True
100,9,16,50,300,30,10.0,3.6171864770776904e-14,3.952393967665557e-14,1.723066134218243e-13,False,False,True,False
100,10,1,50,300,30,10.0,359.5434299474591,1.3651691448417165,1.1235457009206584e-13,True,True,True,True
100,10,2,50,300,30,10.0,157.48640517522713,0.9946728227351302,1.1235457009206584e-13,True,True,True,True
100,10,3,50,300,30,10.0,53.95843541405799,0.3514149561224873,1.1235457009206584e-13,True,True,True,True
100,10,4,50,300,30,10.0,14.23817327451748,0.07120477866060915,1.1235457009206584e-13,True,True,True,True
100,10,5,50,300,30,10.0,2.8974766001664665,0.009321405755569057,1.1235457009206584e-13,True,True,True,True
100,10,6,50,300,30,10.0,0.4597993461310173,0.0008351654882299275,1.1235457009206584e-13,True,True,True,True
100,10,8,50,300,30,10.0,0.0058435431337183945,2.438094024670434e-06,1.1235457009206584e-13,True,True,True,True
100,10,10,50,300,30,10.0,3.317677463640815e-05,2.0485733109865123e-09,1.1235457009206584e-13,True,True,True,True
100,10,12,50,300,30,10.0,9.410976197550963e-08,6.259021079202398e-13,1.1235457009206584e-13,True,True,True,True
100,10,16,50,300,30,10.0,1.332904328352736e-13,2.531308496145357e-14,1.1235457009206584e-13,False,True,True,True
100,11,1,50,300,30,10.0,513.1461745349093,1.0188614591887755,8.926193117986259e-14,True,True,True,True
100,11,2,50,300,30,10.0,222.37476782140482,0.7946481973393202,8.926193117986259e-14,True,True,True,True
